source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
5542845618388490112,125.47683979889241,-36.59583324498728,10.22149539560819,0.0234151,436.53436,61.31183396191121,-122.69071035435798,1.0416398,15.341002,16.675837,14.202725,2.4731112,22.340494,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3518.0042,4.9213,-0.3683,98.0987,0.7366,0.4883,0.2984
5542491816162976512,128.79643349014285,-35.476508354741604,12.567215938887033,0.020904927,601.16046,-171.26506590637572,-13.15257562027462,1.0543665,15.013338,16.410574,13.854559,2.556015,60.531036,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3464.1147,4.922,-0.29,80.2257,0.7141,0.4683,0.2922
5253763842304781056,157.6025761555391,-62.07388182008181,25.1959512835946,0.020725517,1215.6971,-0.8633056520426408,-131.01210911683083,1.0864047,14.777342,16.313202,13.461148,2.8520536,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3094.599,5.0279,-0.1091,39.6502,1.0E-4,1.0E-4,0.0
5542858881247533568,125.36614868585279,-36.51266210852721,19.080135407634113,0.014214998,1342.2538,-159.28483135897247,24.137242009509244,1.0288403,11.291115,12.119833,10.405425,1.7144079,19.020363,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
5253672995165348480,159.6472193239102,-61.90322222005279,22.184171781817245,0.02010528,1103.4003,-312.1203568435415,365.6462230791786,1.0582346,15.080197,16.782425,13.832973,2.9494524,-7.2097826,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
5253820673315693440,156.7921345062722,-62.01924399042737,13.547021306171239,0.06283685,215.59041,-79.1786349785065,-68.71052207870808,3.3424714,7.4458275,7.7150216,7.0042896,0.710732,5.6231055,"NOT_AVAILABLE",3,true,true,false,false,false,true,true,5981.514,4.0298,-0.3799,73.7998,4.0E-4,3.0E-4,2.0E-4
5542524286113336192,127.26891735656807,-36.33619086887073,13.996438789936752,0.027485155,509.2363,-3.464084130026613,95.71573816251151,1.0082626,15.496665,16.94908,14.320838,2.6282415,-5.4854875,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
5542935847063021184,125.02255889004495,-35.96013448567492,14.17089051049747,0.017384404,815.1496,-43.69563914621036,143.60235802701357,1.3362777,14.0872965,15.485129,12.926261,2.5588684,36.51946,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
5253772981995871616,158.25386065853925,-62.02929996567396,15.363911064380511,0.029686874,517.53217,-211.36396174813245,63.72250678744297,1.0020425,15.821517,17.566864,14.55999,3.006874,58.353172,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
5542887983946649088,124.99300148334581,-36.43517936062944,11.564963479447067,0.06593142,175.40898,-83.91683173943899,98.53661938288096,1.0316342,17.291273,19.150162,15.976118,3.1740437,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
5542698283827444352,128.03668302649695,-35.03359436081227,10.374164676392628,0.027228728,381.00073,-24.137447557904714,-0.6100399104002906,1.0475162,15.644662,17.29462,14.410333,2.8842878,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4264828758908014464,289.85509212605126,1.8636515012089026,12.149979184086199,0.016515581,735.6677,-193.5363517107135,-228.74787780206424,0.8873787,11.465668,12.083296,10.712465,1.3708305,-46.015434,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4488.641,4.5785,-0.1569,82.1028,0.0516,0.0392,0.0207
4264831301528990208,289.9866502294861,1.8929314137611866,11.513382939564526,0.047281142,243.50897,25.72322676111473,-101.05045701674396,1.1515296,15.741161,17.587732,14.4539585,3.1337738,116.98907,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
5542390283133240576,128.71740383981808,-36.157429574558186,10.99866982903383,0.011420534,963.0609,-11.121891751504876,-100.78804457503843,1.0503421,13.136533,14.214572,12.103104,2.1114683,27.847216,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
5542217865970083712,126.7320798444961,-36.1000915494572,44.731981263739065,0.01848977,2419.2827,-14.969705070686068,75.9827185654168,1.2214075,12.854703,14.424762,11.63572,2.7890415,-10.263507,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3013.569,4.3657,-0.7822,22.3707,0.0,0.0,0.0
4264882634983456640,289.9012320383136,1.9730792690461327,11.050078552199752,0.049212843,224.53648,97.37841672369294,-88.81939714141203,1.056365,16.172655,17.85094,14.926453,2.924488,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3283.8489,4.9651,-0.1702,94.1271,0.8646,0.5434,0.3609
5542919040843949824,125.15454563273907,-36.12487612808211,18.451674188858355,0.018227285,1012.31067,-22.160796021839317,3.531950449221,1.0510759,14.7509575,16.118467,13.604482,2.5139856,4.0015774,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
4264884078092553600,289.81583444923194,2.0369972199758797,20.037247213737178,0.052133348,384.34607,-22.239400970210948,-133.82352092375058,1.0586389,16.06629,18.107658,14.733867,3.3737917,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,2988.4941,5.0868,-0.1849,51.076,4.0E-4,2.0E-4,2.0E-4
5542991475467702656,126.34253601723968,-35.773036945453356,10.030439700113375,0.010934609,917.3113,-14.040627767622762,-25.06396994092519,0.93354267,11.917044,12.573236,11.121892,1.4513445,9.395688,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4587.366,4.6564,0.5872,99.5112,0.3124,0.2367,0.1235
6030078661326073600,255.53850092759996,-28.814408768976858,11.21047583928637,0.03323461,337.31326,-26.054765358268554,-112.38252730116537,1.5150771,9.744767,10.104128,9.18744,0.91668797,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5343.929,4.3836,-0.4286,88.8506,0.0029,0.0024,0.0013
5542750063955100032,127.67302239185837,-34.912485000746145,13.021063594328519,0.01218355,1068.7413,-19.66333936370314,22.197515056626266,0.99942535,9.07419,9.413672,8.568648,0.8450241,,"VARIABLE",0,true,true,false,true,false,true,true,5722.094,4.4258,0.1957,76.6454,0.0583,0.0487,0.0259
